Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Laurentia_plon,Laurentia_plat,Duluth_plat,,
Baltica,MEAN Bunkris/Glysjon/Oje,NEW,"4-study unit mean of Tuna dykes, Bunkris, Glysjon, Oje",,0,61.5,13.5,4,65,10.6,0.3,0.3,24.0,19.0,28.3,179.8,13.2,13.2,13.2,0or100,,1,1,1,0,0,1,0,1,0,1,4,B,1469,1460,1478,"U-Pb, U-Pb,Soderlund+05 CMP; Gustavs porphyries Lundstrom+02 GFF",MEAN Bunkris/Glysjon/Oje,LULEÅ WORKING GROUP MEAN,2009,,,,,,,,,
Baltica,Ragunda Formation,1320,,Rc,0,63.3,16.1,15,87,14.5,45.7,45.7,31.0,6.9,51.6,166.6,5.7,8.9,7.1,27,3,1,1,1,1,1,1,0,0,1,0,4,B,1506,1493,1519,"1514±5, 1505+-12, 1514±5, 1505+-12, Persson 1999, Prec. Res. 95, 109-127",Ragunda Formation,"Piper,J.D.A.",1979,Geol. Fören. Förhandlingar,101,139-148,"Palaeomagnetism of the Ragunda intrusion and dolerite dykes, central Sweden",,,,,
Baltica,Åland dyke swarm,new,includes data from resultno 5740 and 5741,"C+, R-",0,60,20,96,366,8.6,-10.7,10.7,13.7,4,23.7,191.4,2.8,2.8,2.8,mixed,4,1,1,1,1,1,1,1,1,1,1,7,A,1578,1566,1590,"1578, U-Pb(z) 1575.9±3, 1569±3; 1577±12   ",Åland dyke swarm,"Salminen, J.M., Klein, R., Mertanen, S., Pesonen, L.J., Fröjdö, S., Mänttäri, I., Eklund, O ",in press,"Geological Society of London Special Publications, Special volume. ",,,,,,,,
Baltica,Satakunta dyke swarm -C,49788,,"C+, R-",0,62,21.5,20,104,11.5,3.3,3.3,15.5,8.8,29.3,188.1,6.6,6.6,6.6,32,AF+TH,1,1,1,1,1,1,1,1,1,0,6,A,1578,1566,1590,"1578, correlated to Åland",Satakunta dyke swarm -C,"Salminen, J., Mertanen, S., Evans, D.A.D.",2014,Precambrian Res.,244,170-191,"Paleomagnetic study of the Mesoproterozoic Satakunta dyke swarm, Finland, with implications for a northern Europe - North America (NENA) connection within Nuna supercontinent",,,,,
Baltica,Hoting basic dykes,NEW,,C+,0,64.2,16.2,4,41,45.1,8.5,8.5,24.0,19.1,21.9,146.7,13.7,13.7,13.7,0or100,4,1,1,1,0,0,1,1,1,0,0,4,B,1614,1590,1638,"Ar-Ar, bt: 1614±24 , Ar-Ar, bt: 1614",Hoting basic dykes,"Elming, S.Å., Moakhar, M.O., Layer, P and Donadini, F.",2009,Geoph. J. Int.,179,59-78,Uplift deduced…,,,,,
Baltica,Quartz porphyry dykes,407,,,0,61.3,26.8,9,21,26.9,9.9,9.9,16.2,13.2,30.2,175.4,6.7,13.3,9.4,0or100,3,1,0,1,1,0,1,0,1,0,0,3,B,1631,1621,1641,"ca.1631, ca.1631, authors",Quartz porphyry dykes,"Neuvonen,K.J.",1986,Bull.Geol.Soc.Finland,58,195-201,On the direction of remanent magnetization of the quartz porphyry dikes in SE Finland,,,,,
Baltica  ,Sipoo Quartz Porphyry Dykes,7765,An Component,,0,60.3,25.3,5,34,22.2,-1.8,1.8,34.2,13.3,26.4,180.4,6.6,13.3,9.4,0or100,4,1,1,1,1,1,1,0,1,0,0,4,B,1633,1623,1643,"1633±10, 1633±10,GPMDB4.6",Sipoo Quartz Porphyry Dykes,"Mertanen,S., Pesonen,L.J.",1995,Phys.Earth Planet.Interiors,88,145-175,"Paleomagnetic and rock magnetic investigations of the Sipoo Subjotnian quartz porphyry and diabase dykes, southern Fennoscandia",,,,,
Baltica - Fennoscandia,Häme dyke swarm ,13300,,"C+, R-",0,61.4,25.1,11,45,355.6,-9.1,9.1,8.6,16.6,23.6,209.8,8.5,16.8,14.7,mixed,AF+TH,1,1,0,0,0,1,1,1,1,0,5,B,1647,1633,1661,"1642 ±2, 1647 ± 14 (Salminen et al., 2017);  1638.4 ± 2.7 (unpublished Salminen, Söderlund et al) ",Häme dykes,"Salminen, J., Klein, R., Veikkolainen, T., Mertanen, S., Mänttäri, I.",2017,Precambrian Res.,288,1-22,Mesoproterozoic geomagnetic reversal asymmetry in light of new paleomagnetic and geochronological data for the Häme dyke swarm  Finland: Implications for the Nuna supercontinent,,,,,
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions,new,Group E,,0,50,29.6,5,86,226.8,29.9,29.9,26.6,15.1,10.7,163.2,10.2,10.2,10.2,0or100,4,1,1,1,1,1,1,0,1,0,1,5,B,1722,1710,1734,"1722  ±  12, 1722  ±  12",Volyn-Dniestr-Bug intrusions,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",2010,Precambrian Res.,178,119-135,"Proterozoic Basic dykes in the Ukrainian Shield: A palaeomagnetic, geochronologic and geochemical study â€” The accretion of the Ukrainian Shield to Fennoscandia",,,,,
Baltica-Fennoscandia,MEAN Ropruchey sill,NEW,mean of 4 sites from Fedotova+99 and Damm+97,,100,61.4,35.3,4,30,358.8,20.1,20.1,100.3,9.2,39.1,217.0,8.6,8.6,8.6,0or100,4,1,1,1,1,1,1,0,1,0,1,5,B,1751,1748,1754,"1751±3, U-Pb 1751±3; Lubnina+12",Ropruchey sill,"Fedotova,M.A., Khramov,A.N., Pisakin,B.N., Priyatkin,A.A.",1999,Geophys.J.Int.,137,691-712,"Early Proterozoic palaeomagnetism: new results from the intrusives and related rocks of the Karelian, Bolomorian and Kloa provinces, eastern Fennoscandian Shield",,,,,
